indice;es;en;fr;pt
lang;es-LA;en-US;fr-FR;pt-BR
PageDescription;Sistema Web;Web System;Système Web;Sistema da Web
Author;Departamento de Tecnología.;Departamento de Tecnología.;Departamento de Tecnología.;Departamento de Tecnología.
close;Cerrar;Close;Fermer;Fechar
send;Enviar;Send;Envoyer;Enviar
report;Reportar;Report;rapport;Relatório
Agree;Aprobar;Approve;Approuver;Aprovar
Save;Guardar;save;sauvegarder;Salve
Delete;Borrar;Clear;Clair;Claro
Search;Buscar;Search;Chercher;Procurar
SearchInput;Escribe aquí tu busqueda.;Write here your search.;Écrivez ici votre recherche.;Escreva aqui sua pesquisa.
Refresh;El Sistema debe Refrescar la pantalla al momento de Cerrar este mensaje.;The System should Refresh the screen at the time of closing this message.;Le système doit actualiser l'écran au moment de la fermeture de ce message.;The System should Refresh the screen at the time of closing this message.
loadingtitle;Inicializando el Sistema;Initializing the System;Initialisation du système;Inicializando o sistema
loadingcontent;Espere un Momento la Interfaz de Usuario esta Cargando los Elementos.<br><br> Si demora mas de 2 minutos favor de cerrar y abrir nuevamente.;Wait a Moment User Interface is Loading Items. <br> <br> If it takes more than 2 minutes please close and reopen.;Attendez un instant. L'interface utilisateur charge des éléments. <br> <br> Si cela prend plus de 2 minutes, fermez et rouvrez.;Aguarde um momento A interface do usuário está carregando itens. <br> <br> Se demorar mais de 2 minutos, feche e reabra.
